dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),lr,num_topics,t_hidden_size,Topic diversity(not optimized)
dataset_name,GP,LCB,0,33.17019534111023,0.327323801071384,0.3304036102976309,0.00864696112273507,0.04865612756985289,36,296,0.4444444444444444
dataset_name,GP,LCB,1,30.052550077438354,0.317372550889205,0.32188492859506856,0.008056250499387041,0.02797252828425957,13,71,0.15384615384615385
dataset_name,GP,LCB,2,49.008086919784546,0.3111448365091129,0.3109037402708096,0.012381438979853925,0.09941395780374059,48,66,0.60625
dataset_name,GP,LCB,3,27.418562173843384,0.36613985047016845,0.35757063795826466,0.023004736723837346,0.09986338515428604,6,286,0.7666666666666667
dataset_name,GP,LCB,4,24.980010509490967,0.32925485810238525,0.3258748828969057,0.02517756611998975,0.08114947692114541,5,299,0.86
dataset_name,GP,LCB,5,27.95986032485962,0.31139791379517867,0.3199040206553785,0.025980417957007857,0.09456804291541389,5,60,0.82
dataset_name,GP,LCB,6,39.80834484100342,0.3505096147010615,0.353829575464052,0.016703840190060323,0.09786427596126236,47,299,0.4425531914893617
dataset_name,GP,LCB,7,72.63175916671753,0.427847282330507,0.41139312112778015,0.04836553346233109,0.0027627265560017976,49,59,0.10204081632653061
dataset_name,GP,LCB,8,31.11529850959778,0.3556466213490672,0.35574889427287065,0.0004763199193172938,0.001105346163082854,48,152,0.027083333333333334
dataset_name,GP,LCB,9,36.21414613723755,0.35604418399504,0.35635214285405,0.0009793302001128493,0.0013300838781897706,39,52,0.03076923076923077
dataset_name,GP,LCB,10,43.02807068824768,0.3161152382305984,0.3168083706076713,0.0051382500691721684,0.03536286262916793,49,58,0.3448979591836735
dataset_name,GP,LCB,11,35.761197566986084,0.30358885295716903,0.31385399875377545,0.01641433195475499,0.09987159867350616,24,199,0.6541666666666667
dataset_name,GP,LCB,12,70.9459924697876,0.4511645351505822,0.4544104266786734,0.011029963501350706,0.002709736378305633,50,299,0.082
dataset_name,GP,LCB,13,125.25204038619995,0.39301825300925464,0.39578628812038513,0.052436420234618954,0.0003804692460652523,7,298,0.4
dataset_name,GP,LCB,14,28.046900510787964,0.3568229493359445,0.3563627538816315,0.0016738145815867079,0.001345679617379587,36,294,0.03333333333333333
dataset_name,GP,LCB,15,33.290717124938965,0.354728770031529,0.35456304762139423,0.0027238463142284777,0.0011662555975790589,6,68,0.2
dataset_name,GP,LCB,16,28.832864999771118,0.3363883574149286,0.33599443861495343,0.004794599645026551,0.012687933308992493,50,297,0.036
dataset_name,GP,LCB,17,102.40548253059387,0.5335931404870303,0.4892708293138311,0.07060596974745484,0.0019815844887290284,6,193,0.6
dataset_name,GP,LCB,18,33.63516020774841,0.3451348442640871,0.3425686788553388,0.016562700131263725,0.025782917288534504,5,188,0.26
dataset_name,GP,LCB,19,43.364131927490234,0.35403594981419084,0.3539748524638498,0.0006945970891309573,0.00042993227361997797,20,191,0.06
dataset_name,GP,LCB,20,114.18935966491699,0.45167341923001547,0.4313850124467473,0.03960800732572215,0.0007456945407543626,7,221,0.5142857142857142
dataset_name,GP,LCB,21,38.60939955711365,0.35673135472433953,0.3560913048768842,0.0019854909490833518,0.00097553086994254,6,143,0.2
dataset_name,GP,LCB,22,36.242125272750854,0.3381127860391074,0.34128304030752266,0.016027274948206178,0.0923023838860639,28,297,0.6035714285714285
dataset_name,GP,LCB,23,54.38071584701538,0.2938095364611145,0.2963737526990412,0.00467070129447556,0.08653623494295948,50,192,0.598
dataset_name,GP,LCB,24,34.35700535774231,0.3101091787819525,0.3096599292365149,0.007529249518441726,0.08738817839940592,28,51,0.6178571428571429
dataset_name,GP,LCB,25,37.4758358001709,0.35444871890430346,0.35466728294646926,0.00044467321249842237,0.0006238117379307009,49,254,0.024489795918367346
dataset_name,GP,LCB,26,26.453636169433594,0.3251867701427717,0.3396257079007566,0.04698929727086332,0.09612184586271628,5,164,0.8
dataset_name,GP,LCB,27,136.59789109230042,0.35573006237793425,0.35181010560750237,0.008119285612616704,0.0001544064049979286,8,188,0.15
dataset_name,GP,LCB,28,43.515313148498535,0.3235609432922748,0.3234311066238664,0.00840148717482134,0.03166466629598579,33,165,0.1606060606060606
dataset_name,GP,LCB,29,34.64151930809021,0.311077883748842,0.3168147804088531,0.01506123648048263,0.03538750236318917,17,290,0.37058823529411766
dataset_name,GP,LCB,30,77.57578253746033,0.33226495259470734,0.32888554570080386,0.006396879723997285,0.00020001328868463444,34,160,0.03529411764705882
dataset_name,GP,LCB,31,32.587494134902954,0.35270348724627504,0.36110939592546687,0.025407900977666174,0.013998691727633399,5,246,0.22
dataset_name,GP,LCB,32,31.2373046875,0.3078065160502355,0.30187440412723215,0.011970924244712345,0.06614197582481932,20,130,0.55
dataset_name,GP,LCB,33,35.1376166343689,0.31403053992785923,0.3120068535360073,0.010079225813034835,0.07065244289239336,34,219,0.5470588235294118
dataset_name,GP,LCB,34,35.248924255371094,0.3148870326367515,0.31627941293129536,0.012426355597545916,0.06723708267486947,40,99,0.4925
dataset_name,GP,LCB,35,33.224939823150635,0.3467785022149406,0.3544369495663041,0.0204076770723995,0.007782110664747005,5,209,0.24
dataset_name,GP,LCB,36,28.52108907699585,0.3170702444919009,0.3203752839468784,0.015469408173578133,0.07279427233522202,13,230,0.7384615384615385
dataset_name,GP,LCB,37,107.98972725868225,0.4469593441119703,0.4439403806235874,0.012996589323179255,0.0021332798292954024,20,267,0.245
dataset_name,GP,LCB,38,28.981417417526245,0.33072673393234775,0.333112487530705,0.010112503565846198,0.01792375036287336,29,237,0.05862068965517241
dataset_name,GP,LCB,39,24.88186740875244,0.31849978889449526,0.31685990224800403,0.01922767328253364,0.056514859588225226,5,121,0.76
dataset_name,GP,LCB,40,31.67454195022583,0.33914531552824706,0.33751460837709574,0.007164292678938873,0.018230296597249583,42,98,0.047619047619047616
dataset_name,GP,LCB,41,49.37355422973633,0.3044833070400068,0.3042692362972689,0.004571103697824183,0.09890097777017347,36,118,0.6444444444444445
dataset_name,GP,LCB,42,34.05755567550659,0.31676313076205853,0.3181191591369604,0.00680235818344241,0.040854723630643734,49,175,0.2897959183673469
dataset_name,GP,LCB,43,45.37284469604492,0.304595206080875,0.30417738456794796,0.009272750237868131,0.07078108421843982,46,275,0.5434782608695652
dataset_name,GP,LCB,44,40.91873574256897,0.3170270332771837,0.3165972378740676,0.007304463461208533,0.037492029084509264,29,51,0.4206896551724138
